ship,amount
Castiel (Supernatural)/Dean Winchester ‎,4479
Jeon Jungkook/Park Jimin (BTS),4253
Jeon Jungkook/Kim Taehyung | V ‎,4066
Min Yoongi | Suga/Park Jimin (BTS)‎,3223
Harry Styles/Louis Tomlinson ‎,2821
Kim Namjoon | RM/Kim Seokjin | Jin ‎,2947
"James ""Bucky"" Barnes/Steve Rogers ‎",2418
Derek Hale/Stiles Stilinski ‎,2238
Lan Zhan | Lan Wangji/Wei Ying | Wei Wuxian ‎,2140
Will Graham/Hannibal Lecter ‎,2016
Bakugou Katsuki/Kirishima Eijirou ‎,1969
Steve Rogers/Tony Stark ‎,1918
Katsuki Yuuri/Victor Nikiforov ‎,1672
Original Male Character/Original Male Character ‎,1600
Jung Hoseok | J-Hope/Min Yoongi | Suga ‎,1547
Han Jisung | Han/Lee Minho | Lee Know ‎,1584
Sherlock Holmes/John Watson ‎,1403
"Aemond ""One-Eye"" Targaryen/Lucerys Velaryon (Son of Rhaenyra) ‎",1556
Dick Grayson/Jason Todd ‎,1405
Midoriya Izuku/Todoroki Shouto ‎,1392
Jeon Jungkook/Min Yoongi | Suga ‎,1238
Levi Ackerman/Eren Yeager ‎,1369
Steve Harrington/Eddie Munson ‎,1177
Getou Suguru/Gojo Satoru ‎,1313
Jeon Jungkook/Kim Seokjin | Jin ‎,1279
Jeon Jungkook/Kim Namjoon | RM ‎,1138
Kim Taehyung | V/Park Jimin (BTS)‎,1142
Dean Winchester/Sam Winchester ‎,1042
Bakugou Katsuki/Todoroki Shouto ‎,1099
Rey/Ben Solo | Kylo Ren ‎,1088
Iwaizumi Hajime/Oikawa Tooru ‎,1013
Draco Malfoy/Harry Potter ‎,1043
Uchiha Sasuke/Uzumaki Naruto ‎,1038
Dazai Osamu (Bungou Stray Dogs)/Nakahara Chuuya (Bungou Stray Dogs) ‎,1010
Kim Hongjoong/Park Seonghwa ‎,991
Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic ‎,937
Jensen Ackles/Jared Padalecki ‎,882
Jeon Jungkook/Jung Hoseok/Kim Namjoon/Kim Seokjin/Kim Taehyung/Min Yoongi/Park Jimin ‎(BTS),863
Clark Kent/Bruce Wayne ‎,926
Bang Chan (Stray Kids)/Lee Felix (Stray Kids) ‎,906
Hinata Shouyou/Kageyama Tobio ‎,906
Miya Atsumu/Sakusa Kiyoomi ‎,833
Obi-Wan Kenobi/Anakin Skywalker ‎,892
Charles Leclerc/Max Verstappen ‎,766
Kim Namjoon | RM/Park Jimin (BTS),888
Kim Namjoon | RM/Min Yoongi | Suga ‎,824
Kim Taehyung | V/Min Yoongi | Suga ‎,879
Fushiguro Megumi/Sukuna | Ryoumen Sukuna ‎,928
Kim Seokjin | Jin/Kim Taehyung | V ‎,889
Kim Seokjin | Jin/Min Yoongi | Suga ‎,863
Keith/Lance (Voltron) ‎,858
Akaashi Keiji/Bokuto Koutarou ‎,846
Keith (Voltron)/Shiro (Voltron) ‎,745
"John ""Soap"" MacTavish/Simon ""Ghost"" Riley ‎",741
Robin Buckley/Nancy Wheeler ‎,837
